ccode1,ccode2,year,ISO3let1,ISO3let2,ISOShNm1,ISOShNm2,majpow1,majpow2,rlregion,region1,region2,pol_rel,tau_regi,tau_glob,s_un_reg,s_un_glo,s_wt_reg,s_wt_glo,contig,colcont,colony1,colony2,numstate,numGPs,wrTu1v1,wrTu1v2,wrTu1vsq,wrTp1win,wrTstk1,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2v2,wrTu2v1,wrTu2vsq,wrTp2win,wrTstk2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,wrSu1v1,wrSu1v2,wrSu1vsq,wrSp1win,wrSstk1,wrSu1sq,wrSu1ac1,wrSu1ac2,wrSu1neg,wrSu1cp1,wrSu1cp2,wrSu1wr1,wrSu1wr2,wrSu2v2,wrSu2v1,wrSu2vsq,wrSp2win,wrSstk2,wrSu2sq,wrSu2ac2,wrSu2ac1,wrSu2neg,wrSu2cp2,wrSu2cp1,wrSu2wr2,wrSu2wr1,wrWu1v1,wrWu1v2,wrWu1vsq,wrWp1win,wrWstk1,wrWu1sq,wrWu1ac1,wrWu1ac2,wrWu1neg,wrWu1cp1,wrWu1cp2,wrWu1wr1,wrWu1wr2,wrWu2v2,wrWu2v1,wrWu2vsq,wrWp2win,wrWstk2,wrWu2sq,wrWu2ac2,wrWu2ac1,wrWu2neg,wrWu2cp2,wrWu2cp1,wrWu2wr2,wrWu2wr1,eqTsq,eqTnego,eqTacqa,eqTacqb,eqTcapa,eqTcapb,eqTwara,eqTwarb,eqSsq,eqSnego,eqSacqa,eqSacqb,eqScapa,eqScapb,eqSwara,eqSwarb,eqWsq,eqWnego,eqWacqa,eqWacqb,eqWcapa,eqWcapb,eqWwara,eqWwarb,cwongo,cwongonm,cwinit,cwinitnm,cwdynm,cwhost1,cwhost2,cwhostd,cwkeynum,cworig1,cworig2,cwmidnme,cwsideA1,cwsideA2,cwhiact1,cwhiact2,cwhiactd,cwoutcm,cwsettle,cowrolea,cowroleb,groundtruth
366,200,1939,EST,GBR,ESTONIA,UNITED KINGDOM,0,1,1,1,1,1,-0.261861,-0.116422,0.172414,0.5625,0.126668,0.284824,6,6,0,0,65,7,1.49916,-1.112666,0.294146,0.25058,2.611827,0.294146,-1.112666,1.49916,-0.458194,-1.862086,1.425453,-0.906611,-1.281321,1.401224,-1.180503,0.16449,0.570885,2.581727,0.16449,-1.180503,1.401224,0.293366,-1.609618,1.2333,-0.089115,-0.303673,1.510947,-0.208454,0.77944,0.336301,1.719401,0.77944,-0.208454,1.510947,0.369782,-0.872153,1.24882,-0.224194,-0.556044,0.573667,-0.988686,-0.234177,0.504827,1.562353,-0.234177,-0.988686,0.573667,-0.199967,-1.483858,0.180185,-0.841036,-1.088622,1.543168,-0.269991,0.77944,0.307948,1.813159,0.77944,-0.269991,1.543168,0.288368,-0.962043,1.303141,-0.297685,-0.643711,0.620579,-1.029262,-0.234177,0.515769,1.649841,-0.234177,-1.029262,0.620579,-0.178326,-1.513493,0.218568,-0.822452,-1.064568,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
220,155,1859,FRA,CHL,FRANCE,CHILE,1,0,5,1,5,1,-0.106132,-0.054052,0.592593,0.742424,-0.447939,-0.19579,6,6,0,0,44,5,1.363895,-0.932808,0.29121,0.954133,2.296703,0.29121,-0.932808,1.363895,1.258553,-0.978674,1.086043,0.957767,0.934834,0.828579,-1.251184,-0.266488,0.045349,2.079762,-0.266488,-1.251184,0.828579,-1.156869,-2.205835,0.815373,-1.647401,-2.124727,-0.341718,-0.977556,-0.6733,0.863604,0.635838,-0.6733,-0.977556,-0.341718,-0.428444,-1.113953,0.239746,0.084822,0.016624,0.270447,-0.519437,-0.128125,0.195912,0.789884,-0.128125,-0.519437,0.270447,-0.364689,-1.323525,0.402355,-0.634825,-1.036869,0.73517,-1.669111,-0.6733,0.917607,2.40428,-0.6733,-1.669111,0.73517,0.537075,-1.751503,1.352994,1.113703,1.072507,1.340773,-1.494119,-0.128125,0.417534,2.834892,-0.128125,-1.494119,1.340773,-0.310456,-2.076585,1.621898,-0.320564,-0.611797,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
160,220,1907,ARG,FRA,ARGENTINA,FRANCE,0,1,5,5,1,1,-0.08123,-0.051131,0.768116,0.837398,0.492014,0.700031,6,6,0,0,43,8,0.798387,-1.231484,-0.269616,0.072674,2.029871,-0.269616,-1.231484,0.798387,-1.083964,-2.158809,0.817981,-1.528033,-1.991696,0.99704,-1.12953,-0.084356,0.948508,2.126569,-0.084356,-1.12953,0.99704,0.887538,-1.181022,1.252772,1.117525,1.091779,-0.583656,-0.926821,-0.759871,0.739551,0.343165,-0.759871,-0.926821,-0.583656,-0.673033,-1.187269,-0.021692,-0.241293,-0.371518,-0.537636,-0.889467,-0.718076,0.408319,0.351832,-0.718076,-0.889467,-0.537636,-0.745808,-1.481148,-0.227366,-0.731378,-1.027218,-0.35915,-1.115415,-0.759871,0.332458,0.756265,-0.759871,-1.115415,-0.35915,-0.863989,-1.782957,-0.106525,-0.945135,-1.278906,-0.308484,-1.083562,-0.718076,0.895033,0.775078,-0.718076,-1.083562,-0.308484,-0.389841,-1.188529,0.371626,0.237785,0.185302,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
830,2,1982,SGP,USA,SINGAPORE,UNITED STATES,0,1,4,4,5,1,-0.10656,-0.053641,0.387387,0.366876,0.193096,0.178326,6,6,0,0,159,5,1.111636,-1.103577,0.005262,0.245597,2.215213,0.005262,-1.103577,1.111636,-0.559527,-1.85798,1.110344,-0.93802,-1.315222,0.624006,-1.341238,-0.442062,0.857865,1.965244,-0.442062,-1.341238,0.624006,0.344677,-1.483373,0.619492,0.269095,0.198028,1.458971,0.21121,0.920283,0.412074,1.24776,0.920283,0.21121,1.458971,0.72538,-0.376715,1.079746,0.052192,-0.24177,0.03777,-1.003561,-0.509475,0.457303,1.041331,-0.509475,-1.003561,0.03777,-0.527357,-1.546258,-0.383078,-1.219554,-1.490903,1.593158,-0.048412,0.920283,0.284551,1.64157,0.920283,-0.048412,1.593158,0.418697,-0.763862,1.331291,-0.200894,-0.558619,0.227123,-1.152028,-0.509475,0.57984,1.379151,-0.509475,-1.152028,0.227123,-0.352341,-1.572188,-0.306494,-1.096038,-1.306118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
432,435,1984,MLI,MRT,MALI,MAURITANIA,0,0,3,3,3,1,0.945732,0.701535,0.974359,0.921325,0.999036,0.970853,1,6,0,0,161,5,-0.365659,-0.461125,-0.413568,0.986199,0.095465,-0.413568,-0.461125,-0.365659,-0.366977,-0.474926,0.042201,0.033983,0.027082,-0.034699,-0.140975,-0.087882,0.015181,0.106276,-0.087882,-0.140975,-0.034699,-0.139362,-1.125794,-0.028421,-0.625493,-1.117903,0.087948,0.035998,0.061981,0.997664,0.05195,0.061981,0.035998,0.087948,0.087827,0.033662,0.026112,0.024823,0.023654,0.529631,0.475205,0.502491,0.002268,0.054426,0.502491,0.475205,0.529631,0.475329,-0.522527,0.529491,-0.023678,-0.522544,0.062957,0.061004,0.061981,0.995438,0.001953,0.061981,0.061004,0.062957,0.062948,0.056442,0.001259,-0.001031,-0.003312,0.503514,0.501468,0.502491,0.004558,0.002046,0.502491,0.501468,0.503514,0.501477,-0.493974,0.503232,0.003474,-0.494247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
165,365,1882,URY,RUS,URUGUAY,RUSSIAN FEDERATION,0,1,5,5,1,1,-0.091287,-0.087383,0.619048,0.711712,0.637393,0.597439,6,6,0,0,37,6,0.857293,-1.216938,-0.226232,0.30792,2.074231,-0.226232,-1.216938,0.857293,-0.57824,-1.909018,0.926954,-0.854618,-1.200658,1.118789,-1.074811,0.028542,0.770003,2.193601,0.028542,-1.074811,1.118789,0.614269,-1.304808,1.292989,0.67347,0.558471,0.572657,-0.214915,0.184126,0.256395,0.787572,0.184126,-0.214915,0.572657,-0.012986,-0.95852,0.525448,-0.431997,-0.8038,-0.473792,-1.036351,-0.767714,0.808798,0.56256,-0.767714,-1.036351,-0.473792,-0.581354,-1.227553,-0.622712,-0.825875,-0.921476,0.554215,-0.195481,0.184126,0.743955,0.749697,0.184126,-0.195481,0.554215,0.362259,-0.451526,0.417234,0.097255,-0.030767,-0.488645,-1.023898,-0.767714,0.380363,0.535253,-0.767714,-1.023898,-0.488645,-0.820308,-1.643535,-0.55868,-1.200161,-1.509979,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
315,290,1924,xxx,POL,None,POLAND,0,0,1,1,1,1,0.365911,0.422849,0.688889,0.846995,0.716903,0.786835,1,6,0,0,62,6,1.248564,-0.087971,0.639791,0.238017,1.336535,0.639791,-0.087971,1.248564,0.230147,-0.849954,1.096283,-0.303125,-0.684117,1.006852,-0.327111,0.371671,0.539076,1.333962,0.371671,-0.327111,1.006852,0.391996,-0.788035,0.661956,-0.183362,-0.413824,1.048466,0.395687,0.739,0.133055,0.652779,0.739,0.395687,1.048466,0.482543,-0.471257,0.950138,-0.049257,-0.48273,1.163005,0.521401,0.862539,0.776216,0.641604,0.862539,0.521401,1.163005,1.019424,0.297616,0.589382,0.333909,0.222017,1.022035,0.427943,0.739,0.56922,0.594092,0.739,0.427943,1.022035,0.766112,-0.002837,0.601382,0.130069,-0.085321,1.137648,0.553755,0.862539,0.28996,0.583893,0.862539,0.553755,1.137648,0.723061,-0.156285,0.923368,0.15376,-0.20126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
710,560,1961,CHN,,CHINA,SOUTH AFRICA,1,0,3,4,3,1,-0.033333,-0.020592,0.870968,0.90991,0.624531,0.761837,6,6,0,0,111,5,1.442716,-0.724756,0.471432,0.572827,2.167472,0.471432,-0.724756,1.442716,0.51683,-1.151929,1.172668,0.033194,-0.180392,1.079331,-1.004664,0.047028,0.299856,2.083995,0.047028,-1.004664,1.079331,-0.379765,-1.704808,0.937969,-0.871199,-1.22127,-0.470655,-0.681606,-0.577376,0.060713,0.210951,-0.577376,-0.681606,-0.470655,-0.668799,-1.620893,-0.4356,-1.103388,-1.573031,-0.155679,-0.394633,-0.275875,0.965774,0.238953,-0.275875,-0.394633,-0.155679,-0.163858,-0.428858,0.401936,0.376645,0.359532,-0.259007,-0.874466,-0.577376,0.255194,0.615459,-0.577376,-0.874466,-0.259007,-0.717404,-1.619272,-0.111664,-0.942464,-1.314867,0.078322,-0.617812,-0.275875,0.840022,0.696134,-0.275875,-0.617812,0.078322,-0.033044,-0.77779,0.563331,0.371976,0.291987,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
200,651,1938,GBR,EGY,UNITED KINGDOM,EGYPT,1,0,2,1,2,1,0.845154,0.878595,0.833333,0.938462,0.993713,0.989818,6,1,625,0,66,7,-0.394372,-0.653893,-0.525826,0.774589,0.259521,-0.525826,-0.653893,-0.394372,-0.452871,-0.879304,0.012927,-0.158277,-0.270983,0.016576,-0.283,-0.133754,0.274248,0.299576,-0.133754,-0.283,0.016576,-0.200842,-1.008752,0.160782,-0.419511,-0.782387,-0.404499,-0.681357,-0.544936,0.932837,0.276857,-0.544936,-0.681357,-0.404499,-0.423094,-0.74852,0.103837,0.051661,0.018079,0.760496,0.407061,0.587475,0.068109,0.353435,0.587475,0.407061,0.760496,0.431133,-0.52483,0.797611,0.002303,-0.463642,-0.539714,-0.550152,-0.544936,0.948149,0.010438,-0.544936,-0.550152,-0.539714,-0.540255,-0.602003,-0.023034,-0.049501,-0.075426,0.594138,0.580802,0.587475,0.05222,0.013336,0.587475,0.580802,0.594138,0.581498,-0.366978,0.622595,0.136065,-0.337825,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
780,220,1973,LKA,FRA,SRI LANKA,FRANCE,0,1,4,4,1,1,-0.106935,-0.037646,0.54902,0.692671,0.302278,0.351996,6,6,0,0,141,5,1.119959,-1.099253,0.013537,0.233689,2.219213,0.013537,-1.099253,1.119959,-0.580648,-1.865564,1.116796,-0.966968,-1.350123,0.638327,-1.335807,-0.430615,0.865586,1.974134,-0.430615,-1.335807,0.638327,0.372975,-1.470221,0.626609,0.29405,0.226843,1.316306,0.393243,0.899711,0.368676,0.923062,0.899711,0.393243,1.316306,0.733554,-0.238081,0.984604,0.08619,-0.229472,-0.108695,-0.874106,-0.505564,0.52137,0.765411,-0.505564,-0.874106,-0.108695,-0.475043,-1.352735,-0.577777,-1.18344,-1.422755,1.505068,0.079027,0.899711,0.248842,1.426041,0.899711,0.079027,1.505068,0.433887,-0.67213,1.281182,-0.165578,-0.541157,0.124313,-1.066308,-0.505564,0.636644,1.190621,-0.505564,-1.066308,0.124313,-0.308306,-1.429664,-0.448483,-1.06278,-1.244458,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
230,220,1838,ESP,FRA,SPAIN,FRANCE,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,4,0,615,30,5,0.790666,0.788579,0.789623,0.213713,0.002087,0.789623,0.788579,0.790666,0.789025,0.002292,0.621914,0.227129,-0.166015,0.717413,0.715308,0.716361,0.785774,0.002105,0.716361,0.715308,0.717413,0.716962,0.501082,0.096948,-0.010616,-0.117729,0.915036,0.912993,0.914015,0.213673,0.002043,0.914015,0.912993,0.915036,0.91343,0.126666,0.719736,0.324966,-0.068197,0.914031,0.911988,0.913009,0.78571,0.002043,0.913009,0.911988,0.914031,0.913593,0.697698,0.19588,0.088297,-0.018848,0.915036,0.912993,0.914015,0.213673,0.002043,0.914015,0.912993,0.915036,0.91343,0.126666,0.719736,0.324966,-0.068197,0.914031,0.911988,0.913009,0.78571,0.002043,0.913009,0.911988,0.914031,0.913593,0.697698,0.19588,0.088297,-0.018848,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
501,625,1972,KEN,SDN,KENYA,SUDAN,0,0,3,3,2,1,-0.046512,-0.047519,0.822222,0.709524,0.982343,0.93688,1,6,0,0,140,5,0.937469,-1.109804,-0.107473,0.915021,2.047273,-0.107473,-1.109804,0.937469,0.763493,-1.194783,1.035809,0.819344,0.776854,0.085226,-1.477795,-0.801575,0.285482,1.563021,-0.801575,-1.477795,0.085226,-1.031581,-2.192313,0.115907,-1.358159,-1.715418,0.427,0.056334,0.24321,0.996389,0.370666,0.24321,0.056334,0.427,0.425661,0.052723,0.184668,0.181524,0.179719,-0.664394,-0.921488,-0.795706,0.009422,0.257094,-0.795706,-0.921488,-0.664394,-0.919066,-1.912066,-0.666685,-1.416646,-1.911935,0.261605,0.224784,0.24321,0.909822,0.036822,0.24321,0.224784,0.261605,0.258285,0.134605,0.040328,-0.008082,-0.053171,-0.782923,-0.808434,-0.795706,0.116676,0.02551,-0.795706,-0.808434,-0.782923,-0.805457,-1.691758,-0.8113,-1.275496,-1.717158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
95,94,1963,PAN,CRI,PANAMA,COSTA RICA,0,0,5,5,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1,6,0,0,119,5,0.602268,0.600148,0.601208,0.585084,0.00212,0.601208,0.600148,0.602268,0.601389,0.185232,0.250511,0.042173,-0.165285,0.655734,0.65362,0.654677,0.414294,0.002115,0.654677,0.65362,0.655734,0.654496,0.067913,0.406658,0.112566,-0.180287,0.649153,0.647037,0.648095,0.585062,0.002116,0.648095,0.647037,0.649153,0.648275,0.232099,0.269977,0.06163,-0.145839,0.952526,0.950501,0.951514,0.414155,0.002025,0.951514,0.950501,0.952526,0.95134,0.364656,0.684114,0.390005,0.097083,0.649153,0.647037,0.648095,0.585062,0.002116,0.648095,0.647037,0.649153,0.648275,0.232099,0.269977,0.06163,-0.145839,0.952526,0.950501,0.951514,0.414155,0.002025,0.951514,0.950501,0.952526,0.95134,0.364656,0.684114,0.390005,0.097083,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
155,255,1940,CHL,DEU,CHILE,GERMANY,0,1,5,5,1,1,-0.312737,-0.273418,0.380952,0.519126,0.176407,0.19692,6,6,0,0,62,7,0.42347,-1.620601,-0.772879,0.744508,2.04407,-0.772879,-1.620601,0.42347,-0.098775,-1.876093,0.998884,0.348893,0.221147,1.530574,-1.180293,0.278616,0.54928,2.710867,0.278616,-1.180293,1.530574,0.308731,-1.631013,1.9551,0.507897,0.282537,-0.307367,-1.213032,-0.794662,0.662364,0.905666,-0.794662,-1.213032,-0.307367,-0.613152,-1.550668,0.218989,-0.255614,-0.424432,0.385479,-0.78719,-0.214424,0.64929,1.172669,-0.214424,-0.78719,0.385479,-0.025787,-1.1379,0.901445,0.314824,0.139469,-0.123732,-1.340491,-0.794662,0.777609,1.216759,-0.794662,-1.340491,-0.123732,-0.394329,-1.562882,0.494204,0.112412,0.001216,0.59184,-0.971849,-0.214424,0.61998,1.563688,-0.214424,-0.971849,0.59184,-0.002394,-1.351869,1.084514,0.30027,0.11026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
91,220,1915,HND,FRA,HONDURAS,FRANCE,0,1,5,5,1,1,-0.163375,-0.100629,0.555556,0.705426,0.056665,0.41391,6,6,0,0,45,8,1.176447,-1.155913,0.013904,0.013923,2.33236,0.013904,-1.155913,1.176447,-1.123439,-2.14199,1.176254,-1.616671,-2.10971,1.208076,-1.137432,0.048064,0.984624,2.345508,0.048064,-1.137432,1.208076,1.172011,-1.152808,1.194386,1.150632,1.142944,1.226214,0.301572,0.801986,0.083443,0.924641,0.801986,0.301572,1.226214,0.378727,-0.614985,1.159294,-0.146472,-0.60475,-0.269245,-0.976416,-0.638686,0.914357,0.70717,-0.638686,-0.976416,-0.269245,-0.329809,-1.062058,-1.002547,-1.105932,-1.148754,1.605089,-0.346079,0.801986,0.093848,1.951168,0.801986,-0.346079,1.605089,-0.162965,-1.252231,1.529824,-0.691306,-1.144382,0.200789,-1.327391,-0.638686,0.899181,1.52818,-0.638686,-1.327391,0.200789,0.04672,-1.42821,-0.520342,-0.72482,-0.77523,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
920,200,1978,NZL,GBR,NEW ZEALAND,UNITED KINGDOM,0,1,4,4,1,1,0.140395,0.101573,0.648148,0.78355,0.740264,0.679796,6,5,9201,946,154,5,1.087756,-0.69389,0.231994,0.295661,1.781646,0.231994,-0.69389,1.087756,-0.167128,-1.398229,1.019164,-0.587889,-0.940059,0.589691,-1.026771,-0.248997,0.711715,1.616462,-0.248997,-1.026771,0.589691,0.123689,-1.315056,0.424577,-0.185568,-0.32971,0.849268,0.103494,0.489721,0.598904,0.745773,0.489721,0.103494,0.849268,0.550141,-0.297602,0.555972,0.056297,-0.144251,-0.268961,-0.848187,-0.567812,0.445809,0.579226,-0.567812,-0.848187,-0.268961,-0.589963,-1.402378,-0.487283,-1.08538,-1.362476,0.757881,0.207038,0.489721,0.57127,0.550843,0.489721,0.207038,0.757881,0.521718,-0.221692,0.478118,0.027591,-0.186774,-0.349256,-0.776339,-0.567812,0.459994,0.427082,-0.567812,-0.776339,-0.349256,-0.579883,-1.316344,-0.574525,-1.075155,-1.345158,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
420,740,1991,GMB,JPN,GAMBIA,JAPAN,0,1,3,3,4,1,-0.127257,-0.033701,0.333333,0.79661,0.189812,0.598657,6,6,0,0,177,7,1.723098,-0.597514,0.81413,0.016412,2.320612,0.81413,-0.597514,1.723098,-0.559427,-1.581102,1.709737,-1.064583,-1.556377,1.349893,-0.981843,0.250972,0.882992,2.331737,0.250972,-0.981843,1.349893,1.077061,-1.098851,0.631023,0.299687,0.241183,1.529419,0.184331,0.963289,0.015399,1.345088,0.963289,0.184331,1.529419,0.205043,-0.80027,1.514585,-0.302091,-0.794391,-0.166481,-1.189883,-0.716691,0.982458,1.023402,-0.716691,-1.189883,-0.166481,-0.184434,-1.207425,-1.112872,-1.139595,-1.148366,1.623048,-0.010878,0.963289,0.105671,1.633926,0.963289,-0.010878,1.623048,0.16178,-0.905207,1.521256,-0.387176,-0.834341,-0.033053,-1.284595,-0.716691,0.881213,1.251543,-0.716691,-1.284595,-0.033053,-0.18172,-1.403383,-0.881915,-1.089976,-1.14937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
220,352,1976,FRA,CYP,FRANCE,CYPRUS,1,0,1,1,1,1,-0.158397,-0.034173,0.0625,0.717439,0.141489,0.406572,6,6,0,0,151,5,1.74545,-0.63488,0.824858,0.467201,2.38033,0.824858,-0.63488,1.74545,0.477212,-1.167679,1.360076,-0.174562,-0.440962,0.930894,-1.275028,-0.224532,0.322384,2.205921,-0.224532,-1.275028,0.930894,-0.563874,-1.952644,0.664972,-1.168603,-1.507411,1.695388,-0.195917,0.959283,0.150843,1.891305,0.959283,-0.195917,1.695388,0.089374,-1.045074,1.550686,-0.479906,-0.904485,1.612278,-0.322826,0.819366,0.200499,1.935104,0.819366,-0.322826,1.612278,0.06516,-1.122327,1.419942,-0.526925,-0.926676,1.649862,-0.082676,0.959283,0.14246,1.732538,0.959283,-0.082676,1.649862,0.164142,-0.940216,1.513202,-0.401288,-0.830058,1.560108,-0.213995,0.819366,0.219802,1.774104,0.819366,-0.213995,1.560108,0.175956,-0.994193,1.349256,-0.424995,-0.815094,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
740,220,1910,JPN,FRA,JAPAN,FRANCE,1,1,1,4,1,1,0.115754,0.214056,0.6,0.813953,0.236733,0.389221,6,6,0,0,45,8,0.884604,-0.884009,0.000349,0.343769,1.768613,0.000349,-0.884009,0.884604,-0.276015,-1.54024,0.884485,-0.60425,-0.932366,1.257907,-0.598168,0.397205,0.522945,1.856075,0.397205,-0.598168,1.257907,0.372457,-1.075223,1.257725,0.133747,-0.10478,-0.339,-0.965838,-0.665506,0.031028,0.626839,-0.665506,-0.965838,-0.339,-0.946389,-1.93481,-0.31835,-1.410225,-1.894711,0.624904,-0.205645,0.216537,0.978637,0.830548,0.216537,-0.205645,0.624904,0.607161,-0.227008,1.276193,1.247768,1.237086,-0.011571,-1.221013,-0.665506,0.400408,1.209442,-0.665506,-1.221013,-0.011571,-0.736743,-1.820605,0.254903,-0.770065,-1.069861,0.981411,-0.599361,0.216537,0.697532,1.580772,0.216537,-0.599361,0.981411,0.503277,-0.901829,1.445622,0.816255,0.665021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
130,100,1867,ECU,COL,ECUADOR,COLOMBIA,0,0,5,5,5,1,-0.129641,-0.054841,0.444444,0.74359,0.982985,0.990012,1,6,0,0,39,6,1.221335,-1.074085,0.098673,0.150406,2.29542,0.098673,-1.074085,1.221335,-0.72884,-1.923679,1.206494,-1.168478,-1.593275,1.136732,-1.125524,0.007422,0.829465,2.262256,0.007422,-1.125524,1.136732,0.750938,-1.296059,1.054886,0.583824,0.498556,1.373559,0.230314,0.867269,0.015129,1.143245,0.867269,0.230314,1.373559,0.24761,-0.754557,1.360439,-0.257946,-0.750382,1.411591,0.278402,0.914534,0.929652,1.133189,0.914534,0.278402,1.411591,1.331873,0.208054,0.605332,0.490441,0.455267,0.884749,0.849667,0.867269,0.026189,0.035082,0.867269,0.849667,0.884749,0.850586,-0.124144,0.862037,0.340968,-0.145938,0.931845,0.897092,0.914534,0.972502,0.034754,0.914534,0.897092,0.931845,0.93089,0.869594,0.088424,0.073719,0.059971,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
345,255,1939,xxx,DEU,None,GERMANY,0,1,1,1,1,1,-0.057675,0.143502,0.218391,0.614583,-0.067158,0.132381,1,6,0,0,65,7,1.468104,-0.749404,0.479642,0.232257,2.217508,0.479642,-0.749404,1.468104,-0.234373,-1.517147,1.356704,-0.729644,-1.113516,1.218852,-0.952929,0.172026,0.471943,2.171782,0.172026,-0.952929,1.218852,0.072027,-1.480987,0.992489,-0.418365,-0.682394,1.40296,-0.236824,0.680526,0.209853,1.639785,0.680526,-0.236824,1.40296,0.107289,-1.026971,1.26015,-0.430595,-0.825668,0.383007,-1.032904,-0.358866,0.716968,1.415912,-0.358866,-1.032904,0.383007,-0.017741,-1.315936,-0.104909,-0.647172,-0.788688,1.610566,-0.615396,0.680526,0.194747,2.225962,0.680526,-0.615396,1.610566,-0.181896,-1.420649,1.478036,-0.717053,-1.11968,0.6807,-1.267337,-0.358866,0.712231,1.948038,-0.358866,-1.267337,0.6807,0.120116,-1.555106,0.196008,-0.50846,-0.652345,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,SQ
